Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
366,Exit long,2025-11-06 02:00,Max Hold,3404.26,0.0298,99.74656,1.6,1.60,3.88,3.89,-0.51,-0.51,87.85,0.09
366,Entry long,2025-11-05 15:00,Long Entry,3347.2,0.0298,99.74656,1.6,1.60,3.88,3.89,-0.51,-0.51,87.85,0.09
367,Exit long,2025-11-06 09:00,Flip,3383.6,0.0289,99.730432,-2.04,-2.05,0,0.00,-2.74,-2.74,85.81,0.09
367,Entry long,2025-11-06 05:00,Long Entry,3450.88,0.0289,99.730432,-2.04,-2.05,0,0.00,-2.74,-2.74,85.81,0.09
368,Exit short,2025-11-06 16:00,Max Hold,3300.01,0.0295,99.8162,2.37,2.37,3.15,3.15,-0.96,-0.96,88.17,0.09
368,Entry short,2025-11-06 09:00,Flip to Short,3383.6,0.0295,99.8162,2.37,2.37,3.15,3.15,-0.96,-0.96,88.17,0.09
369,Exit long,2025-11-07 12:00,Flip,3258.61,0.0297,99.682407,-3,-3.01,0.04,0.04,-3.98,-3.99,85.17,0.09
369,Entry long,2025-11-07 08:00,Long Entry,3356.31,0.0297,99.682407,-3,-3.01,0.04,0.04,-3.98,-3.99,85.17,0.09
370,Exit short,2025-11-07 19:00,SL,3424.84,0.0306,99.713466,-5.19,-5.20,1.96,1.96,-5.42,-5.43,79.98,0.08
370,Entry short,2025-11-07 12:00,Flip to Short,3258.61,0.0306,99.713466,-5.19,-5.20,1.96,1.96,-5.42,-5.43,79.98,0.08
371,Exit short,2025-11-09 02:00,Max Hold,3399.21,0.0294,99.917958,-0.12,-0.12,1.28,1.28,-0.51,-0.51,79.87,0.08
371,Entry short,2025-11-08 15:00,Short Entry,3398.57,0.0294,99.917958,-0.12,-0.12,1.28,1.28,-0.51,-0.51,79.87,0.08
372,Exit short,2025-11-09 13:00,Flip,3440.64,0.0296,99.894672,-2.05,-2.05,0.13,0.13,-2.71,-2.71,77.82,0.08
372,Entry short,2025-11-09 04:00,Short Entry,3374.82,0.0296,99.894672,-2.05,-2.05,0.13,0.13,-2.71,-2.71,77.82,0.08
373,Exit long,2025-11-09 15:00,Max Hold,3505.01,0.029,99.77856,1.77,1.77,3.5,3.51,-0.05,-0.05,79.58,0.08
373,Entry long,2025-11-09 13:00,Flip to Long,3440.64,0.029,99.77856,1.77,1.77,3.5,3.51,-0.05,-0.05,79.58,0.08
374,Exit short,2025-11-11 03:00,Max Hold,3613.76,0.0284,99.91404,-2.82,-2.82,0.31,0.31,-3.73,-3.73,76.77,0.08
374,Entry short,2025-11-10 16:00,Short Entry,3518.1,0.0284,99.91404,-2.82,-2.82,0.31,0.31,-3.73,-3.73,76.77,0.08
375,Exit long,2025-11-11 14:00,Flip,3530.99,0.0277,99.836617,-2.13,-2.13,0.07,0.07,-2.27,-2.27,74.64,0.07
375,Entry long,2025-11-11 04:00,Long Entry,3604.21,0.0277,99.836617,-2.13,-2.13,0.07,0.07,-2.27,-2.27,74.64,0.07
376,Exit short,2025-11-11 15:00,Max Hold,3528.26,0.0283,99.927017,-0.02,-0.02,1.29,1.29,-0.48,-0.48,74.62,0.07
376,Entry short,2025-11-11 14:00,Flip to Short,3530.99,0.0283,99.927017,-0.02,-0.02,1.29,1.29,-0.48,-0.48,74.62,0.07
377,Exit long,2025-11-12 19:00,Flip,3422.85,0.0283,99.969467,-3.2,-3.20,1.5,1.50,-4.65,-4.65,71.41,0.07
377,Entry long,2025-11-12 11:00,Long Entry,3532.49,0.0283,99.969467,-3.2,-3.20,1.5,1.50,-4.65,-4.65,71.41,0.07
378,Exit short,2025-11-12 22:00,Max Hold,3421.84,0.0292,99.94722,-0.07,-0.07,1.47,1.47,-0.52,-0.52,71.34,0.07
378,Entry short,2025-11-12 19:00,Flip to Short,3422.85,0.0292,99.94722,-0.07,-0.07,1.47,1.47,-0.52,-0.52,71.34,0.07
379,Exit long,2025-11-13 16:00,Flip,3385.52,0.0283,99.833061,-4.12,-4.13,1.01,1.01,-4.65,-4.66,67.22,0.07
379,Entry long,2025-11-13 06:00,Long Entry,3527.67,0.0283,99.833061,-4.12,-4.13,1.01,1.01,-4.65,-4.66,67.22,0.07
380,Exit short,2025-11-13 17:00,Max Hold,3326.74,0.0295,99.87284,1.64,1.64,1.82,1.83,-0.42,-0.42,68.86,0.07
380,Entry short,2025-11-13 16:00,Flip to Short,3385.52,0.0295,99.87284,1.64,1.64,1.82,1.83,-0.42,-0.42,68.86,0.07
381,Exit short,2025-11-15 11:00,Max Hold,3167.42,0.0321,99.86952,-1.91,-1.91,0.02,0.02,-2.67,-2.67,66.95,0.07
381,Entry short,2025-11-15 00:00,Short Entry,3111.2,0.0321,99.86952,-1.91,-1.91,0.02,0.02,-2.67,-2.67,66.95,0.07
382,Exit long,2025-11-16 02:00,Flip,3149.45,0.0311,99.959132,-2.11,-2.11,0.46,0.46,-2.67,-2.67,64.84,0.06
382,Entry long,2025-11-15 18:00,Long Entry,3214.12,0.0311,99.959132,-2.11,-2.11,0.46,0.46,-2.67,-2.67,64.84,0.06
383,Exit short,2025-11-16 05:00,Max Hold,3193.38,0.0317,99.837565,-1.49,-1.49,0.22,0.22,-1.95,-1.96,63.35,0.06
383,Entry short,2025-11-16 02:00,Flip to Short,3149.45,0.0317,99.837565,-1.49,-1.49,0.22,0.22,-1.95,-1.96,63.35,0.06
384,Exit long,2025-11-16 15:00,Flip,3170.47,0.031,99.76482,-1.58,-1.58,0.89,0.89,-2.57,-2.57,61.77,0.06
384,Entry long,2025-11-16 08:00,Long Entry,3218.22,0.031,99.76482,-1.58,-1.58,0.89,0.89,-2.57,-2.57,61.77,0.06
385,Exit short,2025-11-16 19:00,Max Hold,3059.33,0.0315,99.869805,3.4,3.41,4.53,4.54,-0.35,-0.35,65.17,0.07
385,Entry short,2025-11-16 15:00,Flip to Short,3170.47,0.0315,99.869805,3.4,3.41,4.53,4.54,-0.35,-0.35,65.17,0.07
386,Exit long,2025-11-17 16:00,Max Hold,3119.47,0.0314,99.988904,-2.14,-2.14,1.17,1.17,-2.91,-2.90,63.04,0.06
386,Entry long,2025-11-17 05:00,Long Entry,3184.36,0.0314,99.988904,-2.14,-2.14,1.17,1.17,-2.91,-2.90,63.04,0.06
387,Exit short,2025-11-18 04:00,Max Hold,3022.94,0.0319,99.948123,3.42,3.42,6.01,6.01,-0.15,-0.15,66.45,0.07
387,Entry short,2025-11-17 17:00,Short Entry,3133.17,0.0319,99.948123,3.42,3.42,6.01,6.01,-0.15,-0.15,66.45,0.07
388,Exit long,2025-11-18 23:00,Max Hold,3124.02,0.0327,99.945915,2.11,2.11,3.64,3.64,-1.24,-1.24,68.56,0.07
388,Entry long,2025-11-18 12:00,Long Entry,3056.45,0.0327,99.945915,2.11,2.11,3.64,3.64,-1.24,-1.24,68.56,0.07
389,Exit short,2025-11-19 16:00,Max Hold,2971.57,0.0328,99.95636,2.39,2.39,2.62,2.62,-2.2,-2.20,70.95,0.07
389,Entry short,2025-11-19 05:00,Short Entry,3047.45,0.0328,99.95636,2.39,2.39,2.62,2.62,-2.2,-2.20,70.95,0.07
390,Exit long,2025-11-20 14:00,Max Hold,2998.62,0.0328,99.79728,-1.54,-1.54,0.62,0.62,-1.76,-1.76,69.41,0.07
390,Entry long,2025-11-20 03:00,Long Entry,3042.6,0.0328,99.79728,-1.54,-1.54,0.62,0.62,-1.76,-1.76,69.41,0.07
391,Exit short,2025-11-21 03:00,Max Hold,2781.6,0.0338,99.862776,5.75,5.75,6.23,6.23,-0.24,-0.24,75.16,0.08
391,Entry short,2025-11-20 16:00,Short Entry,2954.52,0.0338,99.862776,5.75,5.75,6.23,6.23,-0.24,-0.24,75.16,0.08
392,Exit short,2025-11-22 22:00,Max Hold,2746.53,0.0368,99.790928,-1.38,-1.38,0.28,0.28,-1.75,-1.76,73.78,0.07
392,Entry short,2025-11-22 11:00,Short Entry,2711.71,0.0368,99.790928,-1.38,-1.38,0.28,0.28,-1.75,-1.76,73.78,0.07
393,Exit long,2025-11-23 11:00,Max Hold,2807.25,0.0361,99.963066,1.28,1.28,2.91,2.91,-0.13,-0.13,75.06,0.08
393,Entry long,2025-11-23 00:00,Long Entry,2769.06,0.0361,99.963066,1.28,1.28,2.91,2.91,-0.13,-0.13,75.06,0.08
394,Exit long,2025-11-24 12:00,Flip,2802.06,0.0348,99.741324,-2.33,-2.33,0.003,0.00,-2.84,-2.84,72.73,0.07
394,Entry long,2025-11-24 06:00,Long Entry,2866.13,0.0348,99.741324,-2.33,-2.33,0.003,0.00,-2.84,-2.84,72.73,0.07
395,Exit short,2025-11-24 17:00,Max Hold,2857.47,0.0356,99.753336,-2.07,-2.08,0.66,0.66,-2.65,-2.65,70.65,0.07
395,Entry short,2025-11-24 12:00,Flip to Short,2802.06,0.0356,99.753336,-2.07,-2.08,0.66,0.66,-2.65,-2.65,70.65,0.07
396,Exit long,2025-11-25 05:00,Max Hold,2936.05,0.034,99.91342,-0.19,-0.19,1.59,1.59,-1.28,-1.28,70.47,0.07
396,Entry long,2025-11-24 18:00,Long Entry,2938.63,0.034,99.91342,-0.19,-0.19,1.59,1.59,-1.28,-1.28,70.47,0.07
397,Exit short,2025-11-25 20:00,Max Hold,2921.18,0.0348,99.882264,-1.88,-1.88,0.48,0.48,-3.07,-3.07,68.59,0.07
