Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
55,Entry short,2023-02-22 16:00,Flip to Short,1612.69,0.062,99.98678,-1.33,-1.33,1.33,1.33,-1.38,-1.38,7.78,0.01
56,Exit long,2023-02-23 10:00,Max Hold,1663.47,0.0611,99.841066,1.8,1.80,2.72,2.72,-0.13,-0.14,9.57,0.01
56,Entry long,2023-02-22 23:00,Flip to Long,1634.06,0.0611,99.841066,1.8,1.80,2.72,2.72,-0.13,-0.14,9.57,0.01
57,Exit short,2023-02-25 09:00,Flip,1602.7,0.0608,99.98864,2.54,2.54,4.41,4.41,-0.17,-0.17,12.11,0.01
57,Entry short,2023-02-24 13:00,Short Entry,1644.55,0.0608,99.98864,2.54,2.54,4.41,4.41,-0.17,-0.17,12.11,0.01
58,Exit long,2023-02-25 11:00,Max Hold,1595.9,0.0623,99.84821,-0.42,-0.43,0.12,0.12,-0.46,-0.46,11.69,0.01
58,Entry long,2023-02-25 09:00,Flip to Long,1602.7,0.0623,99.84821,-0.42,-0.43,0.12,0.12,-0.46,-0.46,11.69,0.01
59,Exit short,2023-02-26 00:00,Flip,1593.6,0.0636,99.96012,-1.39,-1.39,0.53,0.53,-1.59,-1.59,10.3,0.01
59,Entry short,2023-02-25 21:00,Short Entry,1571.7,0.0636,99.96012,-1.39,-1.39,0.53,0.53,-1.59,-1.59,10.3,0.01
60,Exit long,2023-02-26 19:00,Max Hold,1629.73,0.0627,99.91872,2.26,2.27,2.49,2.50,-0.46,-0.46,12.56,0.01
60,Entry long,2023-02-26 00:00,Flip to Long,1593.6,0.0627,99.91872,2.26,2.27,2.49,2.50,-0.46,-0.46,12.56,0.01
61,Exit short,2023-02-27 14:00,Flip,1659.38,0.061,99.96802,-1.26,-1.26,0.004,0.00,-1.6,-1.60,11.31,0.01
61,Entry short,2023-02-27 13:00,Short Entry,1638.82,0.061,99.96802,-1.26,-1.26,0.004,0.00,-1.6,-1.60,11.31,0.01
62,Exit long,2023-02-27 17:00,Flip,1636.79,0.0602,99.894676,-1.36,-1.36,0.22,0.22,-2.19,-2.19,9.94,0.01
62,Entry long,2023-02-27 14:00,Flip to Long,1659.38,0.0602,99.894676,-1.36,-1.36,0.22,0.22,-2.19,-2.19,9.94,0.01
63,Exit short,2023-02-28 11:00,Max Hold,1625.48,0.061,99.84419,0.69,0.69,1.83,1.84,-0.1,-0.10,10.63,0.01
63,Entry short,2023-02-27 17:00,Flip to Short,1636.79,0.061,99.84419,0.69,0.69,1.83,1.84,-0.1,-0.10,10.63,0.01
64,Exit long,2023-02-28 20:00,Flip,1627.42,0.0608,99.882848,-0.94,-0.94,0.16,0.16,-1.28,-1.28,9.7,0.01
64,Entry long,2023-02-28 18:00,Long Entry,1642.81,0.0608,99.882848,-0.94,-0.94,0.16,0.16,-1.28,-1.28,9.7,0.01
65,Exit short,2023-03-01 05:00,Flip,1658.57,0.0614,99.923588,-1.91,-1.92,2.11,2.11,-2.02,-2.02,7.78,0.01
65,Entry short,2023-02-28 20:00,Flip to Short,1627.42,0.0614,99.923588,-1.91,-1.92,2.11,2.11,-2.02,-2.02,7.78,0.01
66,Exit long,2023-03-01 16:00,Max Hold,1657.03,0.0602,99.845914,-0.09,-0.09,0.69,0.69,-0.78,-0.79,7.69,0.01
66,Entry long,2023-03-01 05:00,Flip to Long,1658.57,0.0602,99.845914,-0.09,-0.09,0.69,0.69,-0.78,-0.79,7.69,0.01
67,Exit short,2023-03-02 00:00,Flip,1664.47,0.0611,99.863062,-1.84,-1.84,0.24,0.24,-1.93,-1.93,5.85,0.01
67,Entry short,2023-03-01 20:00,Short Entry,1634.42,0.0611,99.863062,-1.84,-1.84,0.24,0.24,-1.93,-1.93,5.85,0.01
68,Exit long,2023-03-02 02:00,Flip,1649.71,0.06,99.8682,-0.89,-0.89,0.8,0.80,-1.24,-1.24,4.97,0.00
68,Entry long,2023-03-02 00:00,Flip to Long,1664.47,0.06,99.8682,-0.89,-0.89,0.8,0.80,-1.24,-1.24,4.97,0.00
69,Exit short,2023-03-02 18:00,Max Hold,1624.25,0.0606,99.972426,1.54,1.54,1.93,1.93,-0.14,-0.14,6.51,0.01
69,Entry short,2023-03-02 02:00,Flip to Short,1649.71,0.0606,99.972426,1.54,1.54,1.93,1.93,-0.14,-0.14,6.51,0.01
