Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
142,Exit short,2025-11-08 04:00,Max Hold,3452.51,0.0304,99.6816,-5.38,-5.39,2.57,2.57,-5.92,-5.94,48.55,0.05
142,Entry short,2025-11-07 11:00,Short Entry,3279,0.0304,99.6816,-5.38,-5.39,2.57,2.57,-5.92,-5.94,48.55,0.05
143,Exit long,2025-11-09 01:00,Max Hold,3383.34,0.029,99.94589,-1.93,-1.93,0.59,0.59,-2.75,-2.75,46.62,0.05
143,Entry long,2025-11-08 08:00,Long Entry,3446.41,0.029,99.94589,-1.93,-1.93,0.59,0.59,-2.75,-2.75,46.62,0.05
144,Exit long,2025-11-09 22:00,Max Hold,3579.47,0.0296,99.843168,6.01,6.01,6.59,6.60,-0.11,-0.11,52.63,0.05
144,Entry long,2025-11-09 05:00,Long Entry,3373.08,0.0296,99.843168,6.01,6.01,6.59,6.60,-0.11,-0.11,52.63,0.05
145,Exit long,2025-11-11 10:00,Max Hold,3553.96,0.0283,99.843532,0.63,0.63,3.33,3.34,-0.26,-0.26,53.26,0.05
145,Entry long,2025-11-10 17:00,Long Entry,3528.04,0.0283,99.843532,0.63,0.63,3.33,3.34,-0.26,-0.26,53.26,0.05
146,Exit short,2025-11-12 10:00,Max Hold,3482.07,0.0287,99.975015,-0.06,-0.06,2.26,2.26,-0.44,-0.44,53.2,0.05
146,Entry short,2025-11-11 17:00,Short Entry,3483.45,0.0287,99.975015,-0.06,-0.06,2.26,2.26,-0.44,-0.44,53.2,0.05
147,Exit short,2025-11-13 09:00,Max Hold,3522.85,0.0291,99.706203,-2.91,-2.92,1.59,1.59,-4.09,-4.10,50.29,0.05
147,Entry short,2025-11-12 16:00,Short Entry,3426.33,0.0291,99.706203,-2.91,-2.92,1.59,1.59,-4.09,-4.10,50.29,0.05
148,Exit short,2025-11-14 11:00,Max Hold,3174.71,0.0307,99.91008,2.35,2.35,4.57,4.57,-0.55,-0.55,52.64,0.05
148,Entry short,2025-11-13 18:00,Short Entry,3254.4,0.0307,99.91008,2.35,2.35,4.57,4.57,-0.55,-0.55,52.64,0.05
149,Exit short,2025-11-18 12:00,Max Hold,3056.45,0.033,99.77583,-1.19,-1.19,2.6,2.60,-1.71,-1.71,51.45,0.05
149,Entry short,2025-11-17 19:00,Short Entry,3023.51,0.033,99.77583,-1.19,-1.19,2.6,2.60,-1.71,-1.71,51.45,0.05
150,Exit short,2025-11-20 13:00,Max Hold,3027.41,0.0347,99.963413,-5.19,-5.19,0.2,0.20,-6.37,-6.37,46.26,0.05
150,Entry short,2025-11-19 20:00,Short Entry,2880.79,0.0347,99.963413,-5.19,-5.19,0.2,0.20,-6.37,-6.37,46.26,0.05
151,Exit short,2025-11-21 09:00,Max Hold,2736.71,0.0338,99.862776,7.27,7.27,10.49,10.50,-0.24,-0.24,53.53,0.05
151,Entry short,2025-11-20 16:00,Short Entry,2954.52,0.0338,99.862776,7.27,7.27,10.49,10.50,-0.24,-0.24,53.53,0.05
152,Exit short,2025-11-23 04:00,Flip,2823.01,0.0367,99.753536,-3.95,-3.96,0,0.00,-4.27,-4.28,49.58,0.05
152,Entry short,2025-11-22 14:00,Short Entry,2718.08,0.0367,99.753536,-3.95,-3.96,0,0.00,-4.27,-4.28,49.58,0.05
153,Exit long,2025-11-23 07:00,Max Hold,2808.42,0.0354,99.934554,-0.62,-0.62,0.94,0.94,-0.76,-0.76,48.96,0.05
153,Entry long,2025-11-23 04:00,Flip to Long,2823.01,0.0354,99.934554,-0.62,-0.62,0.94,0.94,-0.76,-0.76,48.96,0.05
154,Exit long,2025-11-24 23:00,Max Hold,2959.22,0.0348,99.741324,3.14,3.14,4.16,4.16,-2.97,-2.98,52.1,0.05
154,Entry long,2025-11-24 06:00,Long Entry,2866.13,0.0348,99.741324,3.14,3.14,4.16,4.16,-2.97,-2.98,52.1,0.05
155,Exit long,2025-11-26 10:00,Max Hold,2905.84,0.0341,99.832865,-0.84,-0.84,1.86,1.87,-2.01,-2.02,51.26,0.05
155,Entry long,2025-11-25 17:00,Long Entry,2927.65,0.0341,99.832865,-0.84,-0.84,1.86,1.87,-2.01,-2.02,51.26,0.05
156,Exit long,2025-11-27 18:00,Max Hold,3018.54,0.0329,99.810375,-0.6,-0.60,1.14,1.14,-1.69,-1.70,50.66,0.05
156,Entry long,2025-11-27 01:00,Long Entry,3033.75,0.0329,99.810375,-0.6,-0.60,1.14,1.14,-1.69,-1.70,50.66,0.05
157,Exit short,2025-12-01 18:00,Max Hold,2738.12,0.0352,99.785664,3.31,3.31,4.06,4.07,-1.39,-1.40,53.96,0.05
157,Entry short,2025-12-01 01:00,Short Entry,2834.82,0.0352,99.785664,3.31,3.31,4.06,4.07,-1.39,-1.40,53.96,0.05
158,Exit long,2025-12-03 10:00,Max Hold,3059.04,0.0333,99.703197,2.06,2.07,2.96,2.96,-0.85,-0.85,56.02,0.06
158,Entry long,2025-12-02 17:00,Long Entry,2994.09,0.0333,99.703197,2.06,2.07,2.96,2.96,-0.85,-0.85,56.02,0.06
159,Exit long,2025-12-05 09:00,Max Hold,3153.88,0.0311,99.724016,-1.74,-1.74,0.52,0.52,-4.46,-4.47,54.29,0.05
159,Entry long,2025-12-04 16:00,Long Entry,3206.56,0.0311,99.724016,-1.74,-1.74,0.52,0.52,-4.46,-4.47,54.29,0.05
160,Exit short,2025-12-06 10:00,Max Hold,3028.65,0.0329,99.742601,0.0003,0.00,1.72,1.72,-1.06,-1.07,54.29,0.05
160,Entry short,2025-12-05 17:00,Short Entry,3031.69,0.0329,99.742601,0.0003,0.00,1.72,1.72,-1.06,-1.07,54.29,0.05
161,Exit short,2025-12-07 12:00,Max Hold,3034.52,0.0328,99.73332,0.1,0.10,0.53,0.53,-0.58,-0.58,54.39,0.05
161,Entry short,2025-12-06 19:00,Short Entry,3040.65,0.0328,99.73332,0.1,0.10,0.53,0.53,-0.58,-0.58,54.39,0.05
162,Exit long,2025-12-10 00:00,Max Hold,3316.5,0.0321,99.886212,6.47,6.47,9.12,9.13,-0.75,-0.75,60.86,0.06
162,Entry long,2025-12-09 07:00,Long Entry,3111.72,0.0321,99.886212,6.47,6.47,9.12,9.13,-0.75,-0.75,60.86,0.06
163,Exit short,2025-12-12 02:00,Max Hold,3232.96,0.0312,99.701784,-1.27,-1.27,1.59,1.60,-2.45,-2.45,59.59,0.06
163,Entry short,2025-12-11 09:00,Short Entry,3195.57,0.0312,99.701784,-1.27,-1.27,1.59,1.60,-2.45,-2.45,59.59,0.06
164,Exit short,2025-12-13 05:00,Max Hold,3088.36,0.0308,99.828036,4.61,4.61,6.11,6.12,-0.34,-0.34,64.2,0.06
164,Entry short,2025-12-12 12:00,Short Entry,3241.17,0.0308,99.828036,4.61,4.61,6.11,6.12,-0.34,-0.34,64.2,0.06
165,Exit short,2025-12-14 07:00,Max Hold,3109.44,0.0321,99.767121,-0.15,-0.15,1.01,1.01,-0.71,-0.71,64.05,0.06
165,Entry short,2025-12-13 14:00,Short Entry,3108.01,0.0321,99.767121,-0.15,-0.15,1.01,1.01,-0.71,-0.71,64.05,0.06
166,Exit short,2025-12-16 11:00,Max Hold,2946.41,0.034,99.80394,-0.47,-0.47,2.17,2.18,-1.46,-1.46,63.58,0.06
166,Entry short,2025-12-15 18:00,Short Entry,2935.41,0.034,99.80394,-0.47,-0.47,2.17,2.18,-1.46,-1.46,63.58,0.06
167,Exit short,2025-12-17 07:00,Max Hold,2935.07,0.0343,99.781787,-0.99,-0.99,0.76,0.76,-2.3,-2.30,62.59,0.06
