Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
192,Exit short,2025-01-18 20:00,Mid Exit,3310.54,0.0297,99.926244,1.5,1.50,4.07,4.08,-0.21,-0.21,12.86,0.01
192,Entry short,2025-01-18 13:00,Short Entry,3364.52,0.0297,99.926244,1.5,1.50,4.07,4.08,-0.21,-0.21,12.86,0.01
193,Exit short,2025-01-19 22:00,Mid Exit,3276.29,0.031,99.8572,-1.81,-1.81,2.79,2.79,-1.81,-1.81,11.05,0.01
193,Entry short,2025-01-19 17:00,Short Entry,3221.2,0.031,99.8572,-1.81,-1.81,2.79,2.79,-1.81,-1.81,11.05,0.01
194,Exit long,2025-01-20 05:00,Mid Exit,3378.22,0.0295,99.7159,-0.16,-0.16,2,2.01,-0.94,-0.94,10.9,0.01
194,Entry long,2025-01-19 23:00,Long Entry,3380.2,0.0295,99.7159,-0.16,-0.16,2,2.01,-0.94,-0.94,10.9,0.01
195,Exit short,2025-01-20 12:00,Mid Exit,3271.38,0.0309,99.880851,-1.31,-1.31,2.77,2.77,-2.56,-2.56,9.59,0.01
195,Entry short,2025-01-20 06:00,Short Entry,3232.39,0.0309,99.880851,-1.31,-1.31,2.77,2.77,-2.56,-2.56,9.59,0.01
196,Exit long,2025-01-20 21:00,SL,3303.99,0.0292,99.783408,-3.41,-3.41,0.67,0.67,-4.79,-4.80,6.19,0.01
196,Entry long,2025-01-20 15:00,Long Entry,3417.24,0.0292,99.783408,-3.41,-3.41,0.67,0.67,-4.79,-4.80,6.19,0.01
197,Exit short,2025-01-21 15:00,Mid Exit,3241.16,0.0309,99.686181,-0.57,-0.57,0.65,0.65,-1.51,-1.51,5.62,0.01
197,Entry short,2025-01-21 09:00,Short Entry,3226.09,0.0309,99.686181,-0.57,-0.57,0.65,0.65,-1.51,-1.51,5.62,0.01
198,Exit short,2025-01-25 15:00,Mid Exit,3290.83,0.0305,99.802405,-0.67,-0.67,0.12,0.12,-1.63,-1.64,4.95,0.00
198,Entry short,2025-01-25 09:00,Short Entry,3272.21,0.0305,99.802405,-0.67,-0.67,0.12,0.12,-1.63,-1.64,4.95,0.00
199,Exit short,2025-01-27 21:00,Mid Exit,3101.52,0.0309,99.82245,3.89,3.89,6.45,6.46,-0.75,-0.75,8.84,0.01
199,Entry short,2025-01-27 08:00,Short Entry,3230.5,0.0309,99.82245,3.89,3.89,6.45,6.46,-0.75,-0.75,8.84,0.01
200,Exit short,2025-01-29 11:00,Mid Exit,3112.81,0.0327,99.812499,-2.08,-2.08,0.42,0.42,-2.53,-2.54,6.76,0.01
200,Entry short,2025-01-29 06:00,Short Entry,3052.37,0.0327,99.812499,-2.08,-2.08,0.42,0.42,-2.53,-2.54,6.76,0.01
201,Exit long,2025-02-01 03:00,Mid Exit,3313.11,0.0291,99.702711,-3.39,-3.40,0.25,0.25,-3.95,-3.96,3.37,0.00
201,Entry long,2025-02-01 00:00,Long Entry,3426.21,0.0291,99.702711,-3.39,-3.40,0.25,0.25,-3.95,-3.96,3.37,0.00
202,Exit short,2025-02-01 09:00,Mid Exit,3315.58,0.0301,99.855245,-0.04,-0.04,1.16,1.16,-0.12,-0.12,3.33,0.00
202,Entry short,2025-02-01 06:00,Short Entry,3317.45,0.0301,99.855245,-0.04,-0.04,1.16,1.16,-0.12,-0.12,3.33,0.00
203,Exit short,2025-02-02 14:00,Mid Exit,3118.51,0.0317,99.804914,0.85,0.85,2.54,2.54,-0.48,-0.48,4.18,0.00
203,Entry short,2025-02-02 06:00,Short Entry,3148.42,0.0317,99.804914,0.85,0.85,2.54,2.54,-0.48,-0.48,4.18,0.00
204,Exit short,2025-02-03 16:00,Mid Exit,2619.27,0.0341,99.815815,10.4,10.42,28.83,28.87,-2.1,-2.10,14.58,0.01
204,Entry short,2025-02-03 03:00,Short Entry,2927.15,0.0341,99.815815,10.4,10.42,28.83,28.87,-2.1,-2.10,14.58,0.01
205,Exit long,2025-02-03 22:00,Mid Exit,2574.64,0.0383,99.921253,-1.41,-1.41,0.93,0.93,-2.5,-2.50,13.17,0.01
205,Entry long,2025-02-03 19:00,Long Entry,2608.91,0.0383,99.921253,-1.41,-1.41,0.93,0.93,-2.5,-2.50,13.17,0.01
206,Exit long,2025-02-04 12:00,Mid Exit,2809.42,0.037,99.85375,3.99,4.00,8.11,8.12,-1.3,-1.30,17.16,0.02
206,Entry long,2025-02-04 00:00,Long Entry,2698.75,0.037,99.85375,3.99,4.00,8.11,8.12,-1.3,-1.30,17.16,0.02
207,Exit short,2025-02-04 20:00,Mid Exit,2756.95,0.0371,99.790838,-2.59,-2.60,0.49,0.49,-3.69,-3.69,14.57,0.01
207,Entry short,2025-02-04 14:00,Short Entry,2689.78,0.0371,99.790838,-2.59,-2.60,0.49,0.49,-3.69,-3.69,14.57,0.01
208,Exit long,2025-02-05 04:00,Mid Exit,2769.01,0.0355,99.99285,-1.79,-1.79,1.78,1.78,-3.23,-3.23,12.78,0.01
208,Entry long,2025-02-04 23:00,Long Entry,2816.7,0.0355,99.99285,-1.79,-1.79,1.78,1.78,-3.23,-3.23,12.78,0.01
209,Exit short,2025-02-05 11:00,Mid Exit,2738.23,0.0366,99.967044,-0.35,-0.35,3.64,3.64,-1.52,-1.52,12.43,0.01
