Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1286,Exit short,2025-10-06 10:00,Mid Exit,4526.03,0.0221,99.675641,-0.45,-0.45,0.82,0.82,-0.97,-0.97,-6.59,-0.01
1286,Entry short,2025-10-06 02:00,Short Entry,4510.21,0.0221,99.675641,-0.45,-0.45,0.82,0.82,-0.97,-0.97,-6.59,-0.01
1287,Exit long,2025-10-07 10:00,Mid Exit,4674.25,0.0215,99.691415,0.7,0.71,2.06,2.07,-0.22,-0.22,-5.89,-0.01
1287,Entry long,2025-10-06 22:00,Long Entry,4636.81,0.0215,99.691415,0.7,0.71,2.06,2.07,-0.22,-0.22,-5.89,-0.01
1288,Exit short,2025-10-07 19:00,Mid Exit,4690.08,0.0214,99.884286,-0.58,-0.58,0.62,0.62,-0.66,-0.66,-6.47,-0.01
1288,Entry short,2025-10-07 15:00,Short Entry,4667.49,0.0214,99.884286,-0.58,-0.58,0.62,0.62,-0.66,-0.66,-6.47,-0.01
1289,Exit long,2025-10-07 23:00,Mid Exit,4591.69,0.021,99.666,-3.34,-3.35,0.12,0.12,-3.37,-3.38,-9.81,-0.01
1289,Entry long,2025-10-07 21:00,Long Entry,4746,0.021,99.666,-3.34,-3.35,0.12,0.12,-3.37,-3.38,-9.81,-0.01
1290,Exit short,2025-10-08 17:00,Mid Exit,4473.12,0.0225,99.94095,-0.8,-0.80,0.7,0.70,-1.23,-1.23,-10.62,-0.01
1290,Entry short,2025-10-08 12:00,Short Entry,4441.82,0.0225,99.94095,-0.8,-0.80,0.7,0.70,-1.23,-1.23,-10.62,-0.01
1291,Exit long,2025-10-09 10:00,Mid Exit,4477.24,0.022,99.81378,-1.41,-1.42,0.08,0.08,-1.74,-1.74,-12.03,-0.01
1291,Entry long,2025-10-09 02:00,Long Entry,4536.99,0.022,99.81378,-1.41,-1.42,0.08,0.08,-1.74,-1.74,-12.03,-0.01
1292,Exit short,2025-10-10 06:00,Mid Exit,4355.89,0.0226,99.683176,1.14,1.14,3.3,3.31,-1.14,-1.14,-10.89,-0.01
1292,Entry short,2025-10-09 11:00,Short Entry,4410.76,0.0226,99.683176,1.14,1.14,3.3,3.31,-1.14,-1.14,-10.89,-0.01
1293,Exit short,2025-10-10 22:00,Mid Exit,4353.8,0.0231,99.791538,-0.88,-0.88,0,0.00,-1.63,-1.63,-11.77,-0.01
1293,Entry short,2025-10-10 18:00,Short Entry,4319.98,0.0231,99.791538,-0.88,-0.88,0,0.00,-1.63,-1.63,-11.77,-0.01
1294,Exit short,2025-10-11 18:00,Mid Exit,3827.53,0.0233,99.67041,10.39,10.42,20.4,20.46,-0.14,-0.14,-1.38,0.00
1294,Entry short,2025-10-10 23:00,Short Entry,4277.7,0.0233,99.67041,10.39,10.42,20.4,20.46,-0.14,-0.14,-1.38,0.00
1295,Exit short,2025-10-12 12:00,Mid Exit,3779.99,0.0266,99.9628,-0.69,-0.69,3.09,3.09,-1.68,-1.68,-2.06,0.00
1295,Entry short,2025-10-12 04:00,Short Entry,3758,0.0266,99.9628,-0.69,-0.69,3.09,3.09,-1.68,-1.68,-2.06,0.00
1296,Exit long,2025-10-13 14:00,Mid Exit,4130,0.0251,99.731085,3.83,3.84,6.13,6.14,-0.3,-0.30,1.77,0.00
1296,Entry long,2025-10-12 23:00,Long Entry,3973.35,0.0251,99.731085,3.83,3.84,6.13,6.14,-0.3,-0.30,1.77,0.00
1297,Exit short,2025-10-13 22:00,Mid Exit,4162.68,0.0245,99.919575,-2.17,-2.17,0.54,0.54,-2.54,-2.54,-0.4,0.00
1297,Entry short,2025-10-13 20:00,Short Entry,4078.35,0.0245,99.919575,-2.17,-2.17,0.54,0.54,-2.54,-2.54,-0.4,0.00
1298,Exit short,2025-10-14 01:00,Mid Exit,4163.52,0.0244,99.888476,-1.8,-1.80,0,0.00,-2,-2.00,-2.2,0.00
1298,Entry short,2025-10-13 23:00,Short Entry,4093.79,0.0244,99.888476,-1.8,-1.80,0,0.00,-2,-2.00,-2.2,0.00
1299,Exit short,2025-10-15 00:00,Mid Exit,4083.25,0.0244,99.98998,0.26,0.26,5.14,5.14,-0.7,-0.70,-1.94,0.00
1299,Entry short,2025-10-14 13:00,Short Entry,4097.95,0.0244,99.98998,0.26,0.26,5.14,5.14,-0.7,-0.70,-1.94,0.00
1300,Exit long,2025-10-15 19:00,Mid Exit,4116.66,0.0239,99.905107,-1.62,-1.62,0.02,0.02,-1.73,-1.73,-3.56,0.00
1300,Entry long,2025-10-15 17:00,Long Entry,4180.13,0.0239,99.905107,-1.62,-1.62,0.02,0.02,-1.73,-1.73,-3.56,0.00
1301,Exit short,2025-10-16 10:00,Mid Exit,4007.79,0.0244,99.867492,1.98,1.98,4.05,4.05,-0.31,-0.31,-1.58,0.00
1301,Entry short,2025-10-15 21:00,Short Entry,4092.93,0.0244,99.867492,1.98,1.98,4.05,4.05,-0.31,-0.31,-1.58,0.00
1302,Exit short,2025-10-17 12:00,Mid Exit,3931.45,0.0256,99.968768,-0.78,-0.78,2.06,2.06,-1.62,-1.62,-2.35,0.00
1302,Entry short,2025-10-17 00:00,Short Entry,3905.03,0.0256,99.968768,-0.78,-0.78,2.06,2.06,-1.62,-1.62,-2.35,0.00
1303,Exit short,2025-10-18 02:00,Mid Exit,3815.66,0.0261,99.669114,-0.02,-0.02,3.81,3.82,-0.71,-0.71,-2.37,0.00
1303,Entry short,2025-10-17 15:00,Short Entry,3818.74,0.0261,99.669114,-0.02,-0.02,3.81,3.82,-0.71,-0.71,-2.37,0.00
1304,Exit short,2025-10-19 12:00,Mid Exit,3904.7,0.0258,99.770922,-1.07,-1.07,0.3,0.30,-1.05,-1.05,-3.44,0.00
1304,Entry short,2025-10-19 09:00,Short Entry,3867.09,0.0258,99.770922,-1.07,-1.07,0.3,0.30,-1.05,-1.05,-3.44,0.00
1305,Exit short,2025-10-19 18:00,Mid Exit,3911.26,0.0258,99.619734,-1.39,-1.40,0.32,0.32,-1.82,-1.83,-4.84,0.00
1305,Entry short,2025-10-19 17:00,Short Entry,3861.23,0.0258,99.619734,-1.39,-1.40,0.32,0.32,-1.82,-1.83,-4.84,0.00
1306,Exit short,2025-10-20 12:00,Mid Exit,4025.87,0.0253,99.688072,-2.27,-2.27,0.53,0.53,-2.57,-2.58,-7.1,-0.01
1306,Entry short,2025-10-20 09:00,Short Entry,3940.24,0.0253,99.688072,-2.27,-2.27,0.53,0.53,-2.57,-2.58,-7.1,-0.01
1307,Exit short,2025-10-21 23:00,Mid Exit,4019.95,0.0249,99.667977,-0.53,-0.53,4.05,4.06,-0.57,-0.57,-7.63,-0.01
1307,Entry short,2025-10-21 00:00,Short Entry,4002.73,0.0249,99.667977,-0.53,-0.53,4.05,4.06,-0.57,-0.57,-7.63,-0.01
